m	n_BS
13	169
[n1, n2]	phi	psi	eta
4	6	5.60573	1.19638	0.42897
6	12	0.54625	0.60903	0.20668
1	4	2.65101	2.70837	0.05192
0	7	0.18722	2.66142	0.38438
8	11	1.37374	2.9344	0.45142
0	5	3.17524	4.58092	0.47537
3	10	0.16673	4.23087	0.02959
1	12	1.24933	6.18369	0.49677
0	10	4.08334	0.61838	0.09487
0	12	3.42397	2.52974	0.17724
0	9	1.38507	2.1319	0.04643
2	3	3.70247	5.41405	0.26601
2	7	5.0858	1.56235	0.05872
1	10	0.04083	1.19512	0.37031
3	9	5.06311	2.81872	0.16701
7	11	4.38654	2.65076	0.48947
4	12	2.13786	1.75015	0.37656
2	5	0.97691	1.56958	0.41676
1	12	6.01435	5.80105	0.47242
2	4	2.11489	2.78427	0.49968
1	9	0.58274	5.41202	0.46783
0	4	0.60769	3.4578	0.4856
9	10	5.32496	0.31786	0.35876
3	11	3.79332	6.27868	0.39624
1	9	5.07134	5.25292	0.00266
10	11	4.58504	6.08838	0.11584
1	3	3.36922	5.82054	0.49636
11	12	6.11427	5.33251	0.38583
4	10	2.3784	1.04496	0.36238
9	12	3.46857	3.05137	0.42987
1	12	5.2113	1.34301	0.4552
9	12	3.88627	2.51981	0.10903
0	5	5.41426	0.36842	0.43491
6	8	3.62761	2.38116	0.43053
5	10	4.42696	6.19088	0.41697
1	8	0.28792	1.66632	0.22977
5	10	1.43193	4.92646	0.3855
0	6	1.81828	2.8589	0.40481
1	7	0.50135	2.65783	0.41291
5	6	1.46267	6.015	0.47944
7	10	0.63461	6.25443	0.47668
2	11	1.74656	3.492	0.40046
2	6	3.99412	4.51389	0.19466
8	11	2.29231	0.97262	0.48447
4	10	2.32592	1.86427	0.09313
9	12	1.31637	6.08658	0.42441
8	12	1.67747	3.6391	0.15031
6	11	5.88517	3.40671	0.46744
4	9	4.07173	4.69967	0.40538
3	5	3.82728	0.35918	0.49434
1	4	1.0753	3.6705	0.00064
3	7	4.58124	3.1595	0.39209
7	12	1.02669	5.3578	0.48792
6	10	2.38419	0.98918	0.4843
0	5	6.21736	6.03675	0.4421
5	7	4.02124	0.50336	0.49698
2	7	3.49942	1.16757	0.49177
3	5	4.30156	3.73872	0.31103
4	12	5.29579	4.24249	0.49823
4	5	4.87575	1.47783	0.15274
9	11	1.43915	0.75327	0.29892
4	8	0.20169	5.59384	0.2541
0	8	1.98205	1.54702	0.13163
1	3	1.68227	3.73547	0.49941
3	11	1.32564	3.89169	0.45702
6	7	5.92448	2.63407	0.43446
8	12	5.50638	3.66732	0.27
3	11	1.97718	3.28474	0.35229
7	10	4.11824	5.87293	0.42812
7	11	2.48583	1.2834	0.32429
7	12	5.74627	4.49997	0.29279
0	1	2.88305	1.49971	0.03833
3	4	1.66429	2.4868	0.34778
6	11	1.54961	4.22035	0.49848
3	4	3.52718	1.88494	0.22736
9	10	1.65085	1.9866	0.1134
5	7	3.67306	4.7241	0.48205
5	6	5.64119	0.4558	0.45902
8	11	2.50951	2.87949	0.28678
7	11	1.37803	6.27347	0.40785
3	4	6.26771	6.25866	0.49992
1	11	3.20145	0.46031	0.34681
3	5	0.5712	1.33929	0.4411
1	11	0.29604	1.6663	0.00871
8	12	0.68895	5.86384	0.35248
2	11	3.94236	5.53463	0.3306
7	11	4.97678	5.52462	0.16432
4	11	2.65251	2.32181	0.48624
9	12	0.39916	0.99115	0.26244
8	9	2.39778	5.23857	0.06584
1	4	6.25882	4.42047	0.4992
3	4	3.32452	3.84328	0.07856
3	5	6.10147	6.20297	0.35266
2	4	5.40844	4.10905	0.22932
0	11	0.07214	0.04915	0.49533
2	8	4.52843	5.13402	0.29209
0	4	4.28331	1.88105	0.4323
0	8	3.37388	4.16819	0.01901
4	11	1.67651	5.89947	0.47769
2	10	4.02728	0.84378	0.07816
7	12	0.7009	0.72526	0.16726
0	1	2.73171	0.67253	0.46901
4	9	2.85083	3.47601	0.38598
5	7	5.993	1.71121	0.49994
0	2	5.50315	3.80026	0.25375
4	7	1.65492	4.50889	0.49436
6	7	3.14528	1.27924	0.15867
1	9	1.1225	3.98503	0.36053
0	2	5.73421	1.65866	0.49842
2	12	5.46963	3.06954	0.36361
4	9	1.87518	5.6884	0.35047
1	3	4.01464	5.31623	0.45397
1	8	3.82627	0.57993	0.33556
6	12	0.96032	2.66141	0.49888
9	12	4.791	1.73843	0.46088
3	12	3.38902	0.02228	0.37979
6	8	4.89225	4.84508	0.12051
4	9	3.33231	4.0031	0.39093
4	6	0.00359	1.64591	0.37683
0	9	2.03673	4.65729	0.42192
1	11	0.12238	3.46631	0.49603
3	12	5.8377	2.68724	0.21058
3	10	5.52117	0.06076	0.33214
4	10	5.22551	0.47277	0.41002
1	2	1.93217	5.54872	0.3985
2	3	0.36395	5.67955	0.10021
1	8	5.5167	3.42804	0.47908
0	2	5.94986	5.24392	0.49553
6	7	0.53818	3.66002	0.4826
9	11	3.05357	0.9305	0.30251
4	7	0.43488	0.80076	0.48435
0	3	4.779	1.93684	0.14726
4	11	4.81188	5.64847	0.48266
4	11	0.80671	5.00218	0.4086
1	7	2.98629	5.40795	0.21752
3	10	3.45452	5.64811	0.33581
4	12	1.6654	1.31995	0.46511
10	12	5.48166	1.56784	0.00926
9	10	2.65865	0.64587	0.44675
3	12	1.33077	4.90161	0.34967
1	6	3.3885	5.55518	0.22216
3	8	4.58629	2.55334	0.07289
2	10	1.26387	3.89973	0.48391
2	4	1.95857	0.97109	0.3563
0	1	6.25271	5.84261	0.49476
2	12	4.0833	5.43248	0.47392
4	9	2.75266	6.13368	0.31936
9	11	3.25202	5.09423	0.31801
4	7	0.76029	5.5381	0.48988
1	7	1.41182	0.15574	0.04553
4	11	2.12425	4.62797	0.43519
6	11	3.69645	2.08718	0.42288
4	8	1.44585	5.84849	0.47758
7	8	1.38367	5.04059	0.24779
1	7	0.44606	5.42907	0.49738
0	9	3.96534	5.09409	0.19515
6	11	1.43848	1.67639	0.46357
5	9	5.68892	4.94722	0.04231
0	4	5.40125	0.67918	0.47254
1	3	0.44521	5.47999	0.4898
9	10	1.49543	5.3947	0.04252
0	9	4.20331	1.39759	0.45056
10	12	1.34609	5.13076	0.20676
4	9	0.83134	2.89217	0.49638
0	12	5.87801	1.91757	0.07866
2	12	3.58797	4.9973	0.46437
7	8	2.96988	1.43002	0.30851
7	10	4.92991	0.14869	0.42783
2	4	5.07365	1.21347	0.34086
