m	n_BS
14	196
[n1, n2]	phi	psi	eta
9	11	0.54625	1.04496	0.49698
4	8	2.65101	3.05137	0.49177
0	8	0.18722	1.34301	0.31103
1	3	1.37374	2.51981	0.49823
3	11	3.17524	0.36842	0.15274
6	7	0.16673	2.38116	0.29892
8	12	1.24933	6.19088	0.2541
3	11	4.08334	1.66632	0.13163
7	10	3.42397	4.92646	0.49941
7	11	1.38507	2.8589	0.45702
7	12	3.70247	2.65783	0.43446
0	1	5.0858	6.015	0.27
3	4	0.04083	6.25443	0.35229
6	11	5.06311	3.492	0.42812
3	4	4.38654	4.51389	0.32429
9	10	2.13786	0.97262	0.29279
5	7	0.97691	1.86427	0.03833
5	6	6.01435	6.08658	0.34778
8	11	2.11489	3.6391	0.49848
7	11	0.58274	3.40671	0.22736
3	4	0.60769	4.69967	0.1134
1	11	5.32496	0.35918	0.48205
3	5	3.79332	3.6705	0.45902
1	11	5.07134	3.1595	0.28678
8	12	4.58504	5.3578	0.40785
2	11	3.36922	0.98918	0.49992
7	11	6.11427	6.03675	0.34681
4	11	2.3784	0.50336	0.4411
9	12	3.46857	1.16757	0.00871
8	9	5.2113	3.73872	0.35248
1	4	3.88627	4.24249	0.3306
3	13	5.41426	1.47783	0.16432
3	4	3.62761	0.75327	0.48624
2	5	4.42696	5.59384	0.26244
0	4	0.28792	1.54702	0.06584
8	11	1.43193	3.73547	0.4992
2	4	1.81828	3.89169	0.07856
4	8	0.50135	2.63407	0.35266
2	11	1.46267	3.66732	0.22932
10	13	0.63461	3.28474	0.49533
7	12	1.74656	5.87293	0.29209
1	13	3.99412	1.2834	0.4323
0	9	2.29231	4.49997	0.01901
4	7	2.32592	1.49971	0.47769
2	5	1.31637	2.4868	0.07816
0	4	1.67747	4.22035	0.16726
7	13	5.88517	1.88494	0.46901
1	13	4.07173	1.9866	0.38598
1	6	3.82728	4.7241	0.49994
1	7	1.0753	0.4558	0.25375
9	10	4.58124	2.87949	0.49436
0	10	1.02669	6.27347	0.15867
9	12	2.38419	6.25866	0.36053
1	4	6.21736	0.46031	0.49842
1	3	4.02124	1.33929	0.36361
8	12	3.49942	1.6663	0.35047
6	9	4.30156	5.86384	0.45397
9	12	5.29579	5.53463	0.33556
3	9	4.87575	5.52462	0.49888
8	12	1.43915	2.32181	0.46088
6	7	0.20169	0.99115	0.37979
4	7	1.98205	5.23857	0.12051
9	13	1.68227	4.42047	0.39093
4	6	1.32564	3.84328	0.37683
0	9	5.92448	6.20297	0.42192
1	11	5.50638	4.10905	0.49603
3	12	1.97718	0.04915	0.21058
3	10	4.11824	5.13402	0.33214
4	10	2.48583	1.88105	0.41002
1	2	5.74627	4.16819	0.3985
2	3	2.88305	5.89947	0.10021
1	8	1.66429	0.84378	0.47908
0	2	1.54961	0.72526	0.49553
6	7	3.52718	0.67253	0.4826
9	11	1.65085	3.47601	0.30251
4	7	3.67306	1.71121	0.48435
0	3	5.64119	3.80026	0.14726
4	11	2.50951	4.50889	0.48266
4	11	1.37803	1.27924	0.4086
7	13	6.26771	3.98503	0.21752
1	10	3.20145	1.65866	0.33581
3	4	0.5712	3.06954	0.46511
9	10	0.29604	5.6884	0.00926
10	12	0.68895	5.31623	0.44675
3	6	3.94236	0.57993	0.34967
1	8	4.97678	2.66141	0.22216
3	10	2.65251	1.73843	0.07289
2	4	0.39916	0.02228	0.48391
2	13	2.39778	4.84508	0.3563
0	1	6.25882	4.0031	0.49476
2	12	3.32452	1.64591	0.47392
4	9	6.10147	4.65729	0.31936
11	13	5.40844	3.46631	0.31801
4	9	0.07214	2.68724	0.48988
1	7	4.52843	0.06076	0.04553
7	11	4.28331	0.47277	0.43519
4	11	3.37388	5.54872	0.42288
4	6	1.67651	5.67955	0.47758
1	9	4.02728	3.42804	0.24779
0	6	0.7009	5.24392	0.49738
5	11	2.73171	3.66002	0.19515
4	9	2.85083	0.9305	0.46357
0	1	5.993	0.80076	0.04231
3	10	5.50315	1.93684	0.47254
0	12	1.65492	5.64847	0.4898
10	13	3.14528	5.00218	0.04252
4	9	1.1225	5.40795	0.45056
0	12	5.73421	5.64811	0.20676
2	12	5.46963	1.31995	0.49638
7	8	1.87518	1.56784	0.07866
7	10	4.01464	0.64587	0.46437
2	4	3.82627	4.90161	0.30851
6	9	0.96032	5.55518	0.42783
10	13	4.791	2.55334	0.34086
1	7	3.38902	3.89973	0.46438
5	7	4.89225	0.97109	0.35131
5	6	3.33231	5.84261	0.25191
