m	n_BS
11	121
[n1, n2]	phi	psi	eta
3	6	3.17372	0.92813	0.1358
4	7	6.20895	0.3459	0.3163
2	9	5.4895	4.33778	0.4758
1	3	3.0443	6.18089	0.04245
1	10	5.16068	6.26297	0.26208
1	9	3.01549	3.27547	0.02735
1	3	0.71056	3.81896	0.367
4	6	4.81757	0.56891	0.04727
3	6	2.53757	3.08714	0.02092
7	10	5.13956	1.70254	0.2793
3	8	3.94865	3.32385	0.26227
6	7	2.5849	5.46965	0.2037
0	6	1.65579	5.1035	0.39013
1	8	3.50038	5.18387	0.36996
2	5	3.60521	1.67182	0.42293
0	2	2.47185	1.38367	0.46192
7	10	5.73537	5.90406	0.0611
6	8	5.34221	3.02964	0.20684
7	8	4.53447	5.58237	0.3787
3	9	0.7964	4.4607	0.34009
2	5	2.03169	4.66822	0.49684
0	10	1.16761	5.50991	0.10406
3	6	5.01387	5.76698	0.16698
3	7	1.22348	4.62391	0.47567
1	9	0.87467	0.57801	0.4608
6	9	2.19076	2.91384	0.36303
8	10	3.32907	5.19451	0.01329
5	10	0.36353	1.67544	0.29494
1	6	4.80473	4.92614	0.42412
4	7	4.30587	1.55032	0.14055
3	7	0.45241	1.49186	0.08515
0	4	5.73035	0.48983	0.49911
0	9	0.84137	4.25935	0.17439
4	5	1.65688	2.40914	0.34277
2	10	1.99715	5.58536	0.29961
2	6	0.77231	0.4644	0.20304
4	8	0.3737	5.41869	0.40573
0	5	0.61031	5.30746	0.04749
4	8	1.8675	4.34808	0.49694
1	6	6.03451	5.79815	0.32116
1	7	0.03145	3.55644	0.16153
0	5	6.13737	0.7891	0.34295
2	3	6.22879	4.77717	0.25595
4	9	5.88606	0.48471	0.00612
0	2	4.59139	4.94685	0.4194
0	5	2.79288	0.55047	0.46144
3	8	5.3579	4.39003	0.48153
1	5	6.01408	1.51115	0.15896
6	10	1.33553	3.96711	0.14136
5	8	6.08813	1.22584	0.48439
2	6	1.95331	4.20259	0.40182
5	9	1.71844	5.47908	0.19271
0	8	4.94904	1.72213	0.49957
0	2	4.19833	3.47169	0.3927
0	2	4.11955	0.5353	0.48119
5	9	0.64474	4.1382	0.49428
0	4	4.446	4.96789	0.44228
2	4	0.03868	6.161	0.0585
9	10	1.56157	5.11576	0.30624
1	6	5.92403	2.3173	0.2474
1	8	3.69051	5.14731	0.40537
4	5	4.50615	5.27022	0.49807
7	8	1.8172	1.29896	0.27017
2	4	4.78135	4.60939	0.06275
2	7	4.55744	6.25783	0.34874
5	8	5.81446	0.05067	0.49762
4	9	0.3441	4.81051	0.33422
0	6	1.8199	4.91081	0.1855
0	3	3.5244	2.86227	0.42049
0	6	2.54684	4.58121	0.17465
0	7	5.05871	3.04354	0.49988
4	8	5.41494	6.18889	0.35487
6	10	0.21078	2.95609	0.38987
1	3	2.86227	5.10828	0.19303
1	7	4.85221	0.80015	0.20814
2	5	5.39662	0.03454	0.30586
2	4	5.61	2.30908	0.31814
5	7	6.02004	0.96476	0.16853
0	2	5.72517	4.57343	0.44424
3	9	3.19559	5.94868	0.14189
3	7	2.24526	3.44198	0.08455
2	4	0.41841	1.25542	0.02774
1	10	2.7277	2.41697	0.49527
0	10	5.90282	1.47355	0.49728
8	9	0.4537	4.19397	0.08196
3	9	2.35805	2.93721	0.31924
7	8	3.80082	5.30879	0.12102
7	9	4.35066	0.74312	0.31873
0	10	3.34069	2.2288	0.49877
2	5	0.34472	5.57202	0.3027
7	10	1.05479	5.18635	0.48799
2	5	0.33725	1.50603	0.39948
4	7	0.11226	1.91856	0.14951
7	10	4.80563	2.88749	0.26851
0	2	5.21383	2.5899	0.4085
0	9	2.5984	3.45148	0.41873
0	4	1.9264	1.56194	0.26015
0	6	0.55538	1.29621	0.4967
6	9	5.82844	3.74154	0.47845
3	8	1.77017	3.21081	0.47253
8	9	2.02755	1.08183	0.49679
0	2	3.62592	6.26797	0.20494
1	8	2.92833	6.15531	0.0931
0	9	1.74953	1.08645	0.20869
2	10	0.3756	1.03151	0.31212
6	9	4.40151	2.97274	0.21905
3	10	1.52542	1.35269	0.47137
5	7	0.43648	0.38658	0.44964
4	10	5.81537	4.2502	0.12854
4	5	5.29813	6.15415	0.11555
5	6	4.59387	4.14261	0.18461
4	8	3.83363	6.00158	0.48791
5	8	3.92095	3.57502	0.04153
4	5	0.23552	4.15729	0.39686
1	7	2.07515	6.22284	0.33133
3	10	2.13247	4.98367	0.49846
3	10	0.76324	4.05313	0.49998
2	9	4.708	5.9628	0.43006
0	9	5.0346	4.40461	0.39287
5	9	0.00945	0.14826	0.24482
3	7	3.84156	3.31558	0.48806
